id,name
1,2-3岁
2,3岁以上儿童
3,一般人
4,一般人均可使用
5,一般人群
6,一般人群均可食用
7,一般人群，办公室员工
8,上班族
9,中年人
10,中老年
11,中老年人
12,中青年
13,产后
14,产妇
15,任何人群
16,体质虚弱人群
17,体质虚弱者
18,儿童
19,儿童缺铁性贫血者可多食山楂。
20,儿童软骨缺钙症
21,全体
22,全部
23,全部人群
24,准备怀孕的男女
25,办公室员工
26,劳动量比较大的年轻人
27,哺乳期
28,喝茶人群
29,均可
30,大人
31,大人、小孩
32,妇人脏躁
33,妇女
34,婴儿
35,孕妇
36,学生党
37,孩子
38,小孩
39,小孩子
40,少年
41,少男少女
42,工作忙碌
43,工作繁忙人士
44,年老体弱
45,年老体弱属气血虚者
46,年轻人
47,幼儿
48,广大群众
49,成人
50,所有人群
51,易消化适宜所有人群
52,更适合消化功能较弱的人
53,月经不调等营血虚滞症
54,气血亏损体弱怕冷
55,注意力不集中者
56,消毒防腐药
57,甚至外國人
58,用于老视眼属于肝肾亏损者
59,男女老少
60,病后
61,糖尿病患者
62,老人
63,老人儿童
64,老人及小孩
65,老少兼宜
66,老年人
67,老幼
68,老幼最宜
69,肠胃弱者
70,肾阳衰之腰膝冷痛者
71,肾阳衰虚之人
72,胃功能良好的人。
73,脾胃虚弱者尤为合适
74,野外驴友
75,长期在荧光屏前工作的人
76,青少年
77,阴虚火旺者
78,肝病患者
79,肾病患者
80,胆囊疾病患者
81,腹泻便溏者
82,感冒发热者
83,高血压患者
84,高血脂患者
85,冠心病患者
86,胃溃疡患者
87,胃肠炎患者
88,痔疮患者
89,眼疾患者
90,脾胃虚寒者
91,咳嗽患者
92,胃酸过多人群
93,口腔疾病患者
94,湿热痰湿体质者
95,肥胖人群
96,便秘者
97,皮肤病患者
98,动脉硬化患者
99,低血压人群
100,备孕男性
101,消化功能不良者
102,甲状腺疾病患者
103,阳虚体质者
104,哮喘或支气管疾病患者
105,气滞体质者
106,虚寒体质者
107,过敏体质者
108,痛风或高尿酸人群
109,经期女性
