seasonal_food_id,dish_id,match_type
SF0394,6411,title_contains
SF0400,17560,title_contains
SF0406,12921,title_contains
SF0406,103707,title_contains
SF0408,15013,exact_title
SF0408,24312,exact_title
SF0408,79724,exact_title
SF0408,97076,exact_title
SF0408,101328,exact_title
SF0408,138051,exact_title
SF0448,3702,title_contains
SF0448,6332,title_contains
SF0448,13184,title_contains
SF0448,13340,title_contains
SF0448,13395,title_contains
SF0448,13414,title_contains
SF0448,14393,title_contains
SF0448,15013,title_contains
SF0448,19235,title_contains
SF0448,19364,title_contains
SF0448,24312,title_contains
SF0448,25055,title_contains
SF0448,29173,title_contains
SF0448,29514,title_contains
SF0448,30208,title_contains
SF0448,37141,title_contains
SF0448,40977,title_contains
SF0448,47218,title_contains
SF0448,47232,title_contains
SF0448,47499,title_contains
SF0448,50292,title_contains
SF0448,54557,title_contains
SF0448,56018,title_contains
SF0448,56286,title_contains
SF0448,56561,title_contains
SF0448,67265,title_contains
SF0448,69363,title_contains
SF0448,79351,title_contains
SF0448,79724,title_contains
SF0448,82272,title_contains
SF0448,82938,title_contains
SF0448,83237,title_contains
SF0448,88920,title_contains
SF0448,93114,title_contains
SF0448,96916,title_contains
SF0448,97076,title_contains
SF0448,98473,title_contains
SF0448,99734,title_contains
SF0448,99748,title_contains
SF0448,100251,title_contains
SF0448,100604,title_contains
SF0448,101328,title_contains
SF0448,101989,title_contains
SF0448,103556,title_contains
SF0448,103754,title_contains
SF0448,109360,title_contains
SF0448,111430,title_contains
SF0448,117026,title_contains
SF0448,118990,title_contains
SF0448,127323,title_contains
SF0448,128567,title_contains
SF0448,133273,title_contains
SF0448,133778,title_contains
SF0448,138051,title_contains
SF0448,141336,title_contains
SF0448,144588,title_contains
SF0448,144842,title_contains
SF0448,146096,title_contains
SF0448,157116,title_contains
SF0448,158490,title_contains
SF0448,163223,title_contains
SF0448,165557,title_contains
SF0448,165998,title_contains
SF0448,168433,title_contains
SF0448,168832,title_contains
SF0448,170029,title_contains
SF0448,171399,title_contains
SF0448,173070,title_contains
SF0448,173994,title_contains
SF0448,175390,title_contains
SF0448,176155,title_contains
SF0448,178084,title_contains
SF0448,183422,title_contains
SF0448,186367,title_contains
SF0448,187347,title_contains
SF0448,187528,title_contains
SF0448,187618,title_contains
SF0448,189684,title_contains
SF0448,193328,title_contains
SF0448,193545,title_contains
SF0448,196244,title_contains
SF0448,196506,title_contains
SF0448,196822,title_contains
SF0448,197009,title_contains
SF0459,15013,exact_title
SF0459,24312,exact_title
SF0459,79724,exact_title
SF0459,97076,exact_title
SF0459,101328,exact_title
SF0459,138051,exact_title
SF0490,17560,title_contains
SF0516,102833,title_contains
SF0528,42394,title_contains
SF0528,44756,title_contains
SF0528,82162,title_contains
SF0528,110315,title_contains
